csv entrenamiento,cantidad datos entrenamiento,csv prueba,cantidad datos prueba,cantidad entradas,iteraciones,Alpha,costo final,exactitud entrenamiento,exactitud prueba
Entrenamiento3,42,Prueba3,18,13,4001,0.5,0.11960287751654199,100.0,94.44444444444444
Entrenamiento1,42,Prueba1,18,11,4001,0.5,0.8093133437243872,92.85714285714286,61.11111111111111
Entrenamiento1,42,Prueba1,18,11,4001,0.7,0.7510708096558961,95.23809523809523,55.55555555555557
Entrenamiento2,42,Prueba2,18,11,4001,0.05,0.4449990861603719,97.61904761904762,94.44444444444444
Entrenamiento2,42,Prueba2,18,11,4001,0.3,0.16438949086165347,100.0,94.44444444444444
Entrenamiento2,42,Prueba2,18,11,5001,0.3,0.13986591637261392,100.0,94.44444444444444
Entrenamiento3,42,Prueba3,18,13,5001,0.3,0.14633763572595251,100.0,94.44444444444444
Entrenamiento3,42,Prueba3,18,13,5001,0.5,0.10139913957298052,100.0,94.44444444444444
Entrenamiento4,42,Prueba4,18,15,4001,0.5,0.03462716397327033,100.0,77.77777777777777
Entrenamiento4,42,Prueba4,18,15,4001,0.005,0.5906401841237252,100.0,83.33333333333334
Entrenamiento4,42,Prueba4,18,15,5001,0.005,0.5226019913680681,100.0,83.33333333333334
Entrenamiento4,42,Prueba4,18,15,5001,0.05,0.1422154625419528,100.0,83.33333333333334
Entrenamiento4,42,Prueba4,18,15,5001,0.2,0.05877616310895166,100.0,77.77777777777777
Entrenamiento4,42,Prueba4,18,15,5001,0.08,0.10753864375268828,100.0,83.33333333333334
Entrenamiento5,42,Prueba5,18,6,5001,0.08,3.425646327860184,80.95238095238095,66.66666666666667
Entrenamiento5,42,Prueba5,18,6,5001,0.5,3.1886854966325338,83.33333333333334,77.77777777777777
Entrenamiento6,42,Prueba6,18,21,5001,0.5,0.02360365807991704,100.0,100.0
Entrenamiento7,42,Prueba7,18,10,5001,0.5,0.09067020848283597,100.0,94.44444444444444
Entrenamiento8,42,Prueba8,18,15,5001,0.5,0.031694840351367506,100.0,100.0
Entrenamiento4,42,Prueba4,18,15,5001,0.5,0.028820999609628382,100.0,77.77777777777777
Entrenamiento8,42,Prueba8,18,15,5001,0.5,0.031694840351367506,100.0,100.0
